Tipo de jornada;Sectores de actividad CNAE 2009;Tiempo de trabajo;Periodo;Total
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2018T4;149
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2018T3;151,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2018T2;149,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2018T1;148,6
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2017T4;149
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2017T3;151,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2017T2;149,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2017T1;148,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2016T4;149
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2016T3;150,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2016T2;149,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2016T1;148,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2015T4;149,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2015T3;151,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2015T2;149,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2015T1;149
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2014T4;149,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2014T3;150,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2014T2;149,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2014T1;149,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2013T4;149,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2013T3;151,6
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2013T2;150,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2013T1;150
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2012T4;150,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2012T3;152,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2012T2;150,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2012T1;151,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2011T4;151,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2011T3;153,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2011T2;152
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2011T1;151,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2010T4;152,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2010T3;154,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2010T2;152,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2010T1;152,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2009T4;153,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2009T3;155,6
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2009T2;154,6
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2009T1;154,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2008T4;155,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2008T3;156,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2008T2;156
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2008T1;156,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2024T4;151,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2024T3;153,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2024T2;151,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2024T1;151,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2023T4;151,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2023T3;153,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2023T2;151,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2023T1;151,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2022T4;151,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2022T3;153,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2022T2;151,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2022T1;150,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2021T4;151,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2021T3;153,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2021T2;151
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2021T1;150,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2020T4;150,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2020T3;151,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2020T2;149,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2020T1;149,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2019T4;149,6
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2019T3;151,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2019T2;149,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2019T1;149
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2018T4;149,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2018T3;151,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2018T2;149,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2018T1;149
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2017T4;149,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2017T3;151,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2017T2;149,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2017T1;149,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2016T4;149,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2016T3;151,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2016T2;149,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2016T1;149
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2015T4;149,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2015T3;151,6
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2015T2;149,6
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2015T1;149,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2014T4;149,6
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2014T3;151,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2014T2;149,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2014T1;149,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2013T4;150,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2013T3;151,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2013T2;150,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2013T1;150,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2012T4;150,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2012T3;152,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2012T2;151,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2012T1;151,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2011T4;151,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2011T3;153,6
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2011T2;152,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2011T1;152,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2010T4;153
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2010T3;154,6
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2010T2;153,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2010T1;153,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2009T4;154,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2009T3;156
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2009T2;155
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2009T1;154,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2008T4;156
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2008T3;157,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2008T2;156,6
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pagadas;2008T1;156,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2024T4;127,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2024T3;120,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2024T2;133,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2024T1;130,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2023T4;125,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2023T3;121,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2023T2;130,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2023T1;134,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2022T4;127,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2022T3;122,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2022T2;131,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2022T1;132,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2021T4;126,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2021T3;121
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2021T2;127,6
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2021T1;126,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2020T4;121,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2020T3;115
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2020T2;106,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2020T1;129
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2019T4;127,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2019T3;121
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2019T2;130,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2019T1;134,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2018T4;127,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2018T3;121,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2018T2;134,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2018T1;131,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2017T4;126,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2017T3;122
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2017T2;131,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2017T1;135,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2016T4;127,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2016T3;121,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2016T2;136,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2016T1;129,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2015T4;129,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2015T3;121,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2015T2;131,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2015T1;134
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2014T4;129,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2014T3;120,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2014T2;131,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2014T1;134,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2013T4;128,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2013T3;121,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas efectivas;2013T2;136
