Actividad económica CNAE-09;Clase de indicador;Periodo;Total
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2020T4;12,62
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2020T3;12,09
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2020T2;15,91
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2020T1;15,86
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2019T4;13,79
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2019T3;11,67
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2019T2;13,41
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2019T1;15,27
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2018T4;14,01
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2018T3;12,44
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2018T2;13,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2018T1;15,33
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2017T4;13,81
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2017T3;12,75
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2017T2;14,37
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2017T1;14,82
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2016T4;13,76
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2016T3;13,15
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2016T2;14,61
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2016T1;14,55
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2015T4;14,58
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2015T3;13,04
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2015T2;14,29
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2015T1;15,75
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2014T4;14,92
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2014T3;14,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2014T2;15,83
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2014T1;16,55
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2013T4;16,41
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2013T3;15,17
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2013T2;16,39
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2013T1;17,07
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2012T4;15,57
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2012T3;14,88
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2012T2;16,59
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2012T1;16,73
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2011T4;16,21
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2011T3;15,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2011T2;16,64
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2011T1;17,64
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2010T4;16,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2010T3;15,51
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2010T2;16,87
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2010T1;16,45
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2009T4;17,07
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2009T3;15,22
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2009T2;16,15
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2009T1;17,14
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2008T4;16,18
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2008T3;14,39
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2008T2;15,37
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Percepciones por día de IT;2008T1;16,06
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2024T4;7.196,65
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2024T3;6.447,81
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2024T2;7.107,32
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2024T1;7.875,65
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2023T4;7.382,57
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2023T3;6.433,59
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2023T2;8.287,36
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2023T1;7.985,29
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2022T4;5.995,85
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2022T3;6.152,92
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2022T2;5.904,99
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2022T1;10.355,78
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2021T4;8.995,78
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2021T3;8.931,85
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2021T2;10.331,51
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2021T1;9.086,79
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2020T4;11.276,39
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2020T3;10.014,96
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2020T2;8.426,91
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2020T1;5.437,62
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2019T4;7.710,31
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2019T3;5.303,32
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2019T2;8.817,56
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2019T1;7.961,98
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2018T4;9.502,78
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2018T3;7.844,54
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2018T2;3.427,64
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2018T1;9.239,69
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2017T4;9.794,36
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2017T3;6.533,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2017T2;9.585,47
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2017T1;8.360,61
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2016T4;8.568,81
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2016T3;6.219,62
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2016T2;8.387,65
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2016T1;9.366,28
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2015T4;8.630,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2015T3;10.508,39
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2015T2;10.966,79
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2015T1;9.651,52
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2014T4;9.238,31
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2014T3;8.424,95
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2014T2;9.217,46
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2014T1;12.917,48
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2013T4;12.010,62
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2013T3;11.938,82
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2013T2;10.648,02
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2013T1;10.966,01
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2012T4;10.104,59
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2012T3;7.777,87
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2012T2;9.150,85
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2012T1;11.286,09
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2011T4;10.090,01
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2011T3;9.810,74
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2011T2;11.799,98
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2011T1;12.118,99
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2010T4;10.714,17
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2010T3;7.575,89
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2010T2;10.572,75
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2010T1;10.203,61
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2009T4;9.590,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2009T3;9.607,34
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2009T2;9.488,59
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2009T1;10.316,11
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2008T4;8.071,45
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2008T3;6.889,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2008T2;8.027,78
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste indemnización por trabajador despedido;2008T1;7.686,09
Industria;Percepciones por día de IT;2024T4;11,61
Industria;Percepciones por día de IT;2024T3;10,64
Industria;Percepciones por día de IT;2024T2;12,1
Industria;Percepciones por día de IT;2024T1;13,08
Industria;Percepciones por día de IT;2023T4;11,56
Industria;Percepciones por día de IT;2023T3;10,56
Industria;Percepciones por día de IT;2023T2;11,86
Industria;Percepciones por día de IT;2023T1;13,14
Industria;Percepciones por día de IT;2022T4;11,24
Industria;Percepciones por día de IT;2022T3;10,83
Industria;Percepciones por día de IT;2022T2;12,02
Industria;Percepciones por día de IT;2022T1;11,26
Industria;Percepciones por día de IT;2021T4;11
Industria;Percepciones por día de IT;2021T3;10,27
Industria;Percepciones por día de IT;2021T2;11,36
Industria;Percepciones por día de IT;2021T1;11,35
Industria;Percepciones por día de IT;2020T4;10,43
Industria;Percepciones por día de IT;2020T3;10,15
Industria;Percepciones por día de IT;2020T2;16,26
Industria;Percepciones por día de IT;2020T1;14,82
Industria;Percepciones por día de IT;2019T4;11,76
Industria;Percepciones por día de IT;2019T3;10,66
Industria;Percepciones por día de IT;2019T2;12,16
Industria;Percepciones por día de IT;2019T1;14,85
Industria;Percepciones por día de IT;2018T4;12,99
Industria;Percepciones por día de IT;2018T3;11,51
Industria;Percepciones por día de IT;2018T2;13
Industria;Percepciones por día de IT;2018T1;15,22
Industria;Percepciones por día de IT;2017T4;12,8
Industria;Percepciones por día de IT;2017T3;12,07
Industria;Percepciones por día de IT;2017T2;12,93
Industria;Percepciones por día de IT;2017T1;14,6
Industria;Percepciones por día de IT;2016T4;12,61
Industria;Percepciones por día de IT;2016T3;11,66
Industria;Percepciones por día de IT;2016T2;13,38
Industria;Percepciones por día de IT;2016T1;14,38
Industria;Percepciones por día de IT;2015T4;13,14
Industria;Percepciones por día de IT;2015T3;12,19
Industria;Percepciones por día de IT;2015T2;13,6
Industria;Percepciones por día de IT;2015T1;15,76
Industria;Percepciones por día de IT;2014T4;16,15
Industria;Percepciones por día de IT;2014T3;14,34
Industria;Percepciones por día de IT;2014T2;15,85
Industria;Percepciones por día de IT;2014T1;17,57
Industria;Percepciones por día de IT;2013T4;16,96
Industria;Percepciones por día de IT;2013T3;15,84
Industria;Percepciones por día de IT;2013T2;17,73
Industria;Percepciones por día de IT;2013T1;17,89
Industria;Percepciones por día de IT;2012T4;15,71
Industria;Percepciones por día de IT;2012T3;15,28
Industria;Percepciones por día de IT;2012T2;16,93
Industria;Percepciones por día de IT;2012T1;17,39
Industria;Percepciones por día de IT;2011T4;15,67
Industria;Percepciones por día de IT;2011T3;14,32
Industria;Percepciones por día de IT;2011T2;15,77
Industria;Percepciones por día de IT;2011T1;16,69
Industria;Percepciones por día de IT;2010T4;14,87
Industria;Percepciones por día de IT;2010T3;14,48
Industria;Percepciones por día de IT;2010T2;15,19
Industria;Percepciones por día de IT;2010T1;15,4
Industria;Percepciones por día de IT;2009T4;15,35
Industria;Percepciones por día de IT;2009T3;14,04
Industria;Percepciones por día de IT;2009T2;14,23
Industria;Percepciones por día de IT;2009T1;15,6
Industria;Percepciones por día de IT;2008T4;14,44
Industria;Percepciones por día de IT;2008T3;13,21
Industria;Percepciones por día de IT;2008T2;13,82
Industria;Percepciones por día de IT;2008T1;15,19
Industria;Coste indemnización por trabajador despedido;2024T4;10.638,21
Industria;Coste indemnización por trabajador despedido;2024T3;4.281
Industria;Coste indemnización por trabajador despedido;2024T2;11.742,65
Industria;Coste indemnización por trabajador despedido;2024T1;12.647,3
Industria;Coste indemnización por trabajador despedido;2023T4;9.864,13
Industria;Coste indemnización por trabajador despedido;2023T3;11.720,2
Industria;Coste indemnización por trabajador despedido;2023T2;14.772,04
Industria;Coste indemnización por trabajador despedido;2023T1;13.960,22
Industria;Coste indemnización por trabajador despedido;2022T4;9.043,29
Industria;Coste indemnización por trabajador despedido;2022T3;8.397,9
Industria;Coste indemnización por trabajador despedido;2022T2;13.062,52
Industria;Coste indemnización por trabajador despedido;2022T1;17.450,72
Industria;Coste indemnización por trabajador despedido;2021T4;20.331,34
Industria;Coste indemnización por trabajador despedido;2021T3;15.478,98
Industria;Coste indemnización por trabajador despedido;2021T2;17.670,67
Industria;Coste indemnización por trabajador despedido;2021T1;15.503,2
Industria;Coste indemnización por trabajador despedido;2020T4;20.529,02
Industria;Coste indemnización por trabajador despedido;2020T3;16.309,75
Industria;Coste indemnización por trabajador despedido;2020T2;12.385,69
Industria;Coste indemnización por trabajador despedido;2020T1;9.402,59
Industria;Coste indemnización por trabajador despedido;2019T4;16.898,72
Industria;Coste indemnización por trabajador despedido;2019T3;10.970,98
Industria;Coste indemnización por trabajador despedido;2019T2;14.547,63
Industria;Coste indemnización por trabajador despedido;2019T1;11.945,32
Industria;Coste indemnización por trabajador despedido;2018T4;20.996,14
Industria;Coste indemnización por trabajador despedido;2018T3;14.210,9
Industria;Coste indemnización por trabajador despedido;2018T2;13.939,65
Industria;Coste indemnización por trabajador despedido;2018T1;15.180,4
Industria;Coste indemnización por trabajador despedido;2017T4;14.317,5
Industria;Coste indemnización por trabajador despedido;2017T3;15.976,09
Industria;Coste indemnización por trabajador despedido;2017T2;16.995,12
Industria;Coste indemnización por trabajador despedido;2017T1;19.093,06
Industria;Coste indemnización por trabajador despedido;2016T4;16.990,82
Industria;Coste indemnización por trabajador despedido;2016T3;9.184,67
Industria;Coste indemnización por trabajador despedido;2016T2;16.283,89
Industria;Coste indemnización por trabajador despedido;2016T1;8.579,48
Industria;Coste indemnización por trabajador despedido;2015T4;17.807,47
Industria;Coste indemnización por trabajador despedido;2015T3;9.017,01
Industria;Coste indemnización por trabajador despedido;2015T2;16.877,04
Industria;Coste indemnización por trabajador despedido;2015T1;16.159,59
Industria;Coste indemnización por trabajador despedido;2014T4;15.369,36
Industria;Coste indemnización por trabajador despedido;2014T3;17.359,7
Industria;Coste indemnización por trabajador despedido;2014T2;16.136,03
Industria;Coste indemnización por trabajador despedido;2014T1;17.782,87
Industria;Coste indemnización por trabajador despedido;2013T4;16.652,52
Industria;Coste indemnización por trabajador despedido;2013T3;19.832,63
Industria;Coste indemnización por trabajador despedido;2013T2;16.404,69
Industria;Coste indemnización por trabajador despedido;2013T1;14.512,14
Industria;Coste indemnización por trabajador despedido;2012T4;17.085,88
Industria;Coste indemnización por trabajador despedido;2012T3;14.424,85
Industria;Coste indemnización por trabajador despedido;2012T2;17.140,96
Industria;Coste indemnización por trabajador despedido;2012T1;16.459,78
Industria;Coste indemnización por trabajador despedido;2011T4;15.169,14
Industria;Coste indemnización por trabajador despedido;2011T3;11.873,83
Industria;Coste indemnización por trabajador despedido;2011T2;14.530,96
Industria;Coste indemnización por trabajador despedido;2011T1;18.087,93
Industria;Coste indemnización por trabajador despedido;2010T4;23.175,08
Industria;Coste indemnización por trabajador despedido;2010T3;15.437,27
Industria;Coste indemnización por trabajador despedido;2010T2;21.352,78
Industria;Coste indemnización por trabajador despedido;2010T1;17.807,27
Industria;Coste indemnización por trabajador despedido;2009T4;16.125,8
Industria;Coste indemnización por trabajador despedido;2009T3;13.900,37
Industria;Coste indemnización por trabajador despedido;2009T2;14.598,24
Industria;Coste indemnización por trabajador despedido;2009T1;14.855,74
Industria;Coste indemnización por trabajador despedido;2008T4;12.216,34
Industria;Coste indemnización por trabajador despedido;2008T3;11.333,86
Industria;Coste indemnización por trabajador despedido;2008T2;14.596,06
Industria;Coste indemnización por trabajador despedido;2008T1;15.323,17
Construcción;Percepciones por día de IT;2024T4;9,18
Construcción;Percepciones por día de IT;2024T3;7,3
Construcción;Percepciones por día de IT;2024T2;8,09
Construcción;Percepciones por día de IT;2024T1;8,95
Construcción;Percepciones por día de IT;2023T4;8,57
Construcción;Percepciones por día de IT;2023T3;8,09
Construcción;Percepciones por día de IT;2023T2;8,81
Construcción;Percepciones por día de IT;2023T1;8,87
