Actividad económica CNAE-09;Periodo;Total
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2018T1;16,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2017T4;16,02
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2017T3;15,18
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2017T2;16,05
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2017T1;16,04
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2016T4;16,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2016T3;15,24
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2016T2;16,24
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2016T1;16,01
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2015T4;15,72
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2015T3;15,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2015T2;15,83
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2015T1;16,22
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2014T4;15,64
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2014T3;15,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2014T2;16,47
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2014T1;17,73
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2013T4;16,05
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2013T3;16,16
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2013T2;16,56
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2013T1;16,79
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2012T4;16,04
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2012T3;15,52
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2012T2;15,82
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2012T1;15,95
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2011T4;15,71
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2011T3;15,44
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2011T2;15,63
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2011T1;15,98
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2010T4;16,18
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2010T3;15,06
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2010T2;15,89
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2010T1;16,34
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2009T4;15,78
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2009T3;15,26
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2009T2;15,42
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2009T1;15,96
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2008T4;15,67
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2008T3;15,48
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2008T2;15,49
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);2008T1;15,35
Industria;2024T4;24,04
Industria;2024T3;24,07
Industria;2024T2;24,23
Industria;2024T1;23,34
Industria;2023T4;24,24
Industria;2023T3;23,2
Industria;2023T2;23,69
Industria;2023T1;23,1
Industria;2022T4;22,6
Industria;2022T3;22,54
Industria;2022T2;21,97
Industria;2022T1;21,88
Industria;2021T4;21,97
Industria;2021T3;21,6
Industria;2021T2;21,87
Industria;2021T1;21,52
Industria;2020T4;21,83
Industria;2020T3;21,38
Industria;2020T2;21,83
Industria;2020T1;20,7
Industria;2019T4;21,52
Industria;2019T3;21,37
Industria;2019T2;21,5
Industria;2019T1;21,6
Industria;2018T4;21,79
Industria;2018T3;22,03
Industria;2018T2;21,62
Industria;2018T1;22,31
Industria;2017T4;21,95
Industria;2017T3;21,69
Industria;2017T2;21,7
Industria;2017T1;21,5
Industria;2016T4;22,08
Industria;2016T3;21,13
Industria;2016T2;21,54
Industria;2016T1;21,85
Industria;2015T4;21,72
Industria;2015T3;21,55
Industria;2015T2;22,2
Industria;2015T1;22,03
Industria;2014T4;21,31
Industria;2014T3;21,32
Industria;2014T2;21,19
Industria;2014T1;21,95
Industria;2013T4;21,42
Industria;2013T3;20,94
Industria;2013T2;22,49
Industria;2013T1;21,51
Industria;2012T4;22,1
Industria;2012T3;21,36
Industria;2012T2;21,45
Industria;2012T1;21,82
Industria;2011T4;20,76
Industria;2011T3;20,89
Industria;2011T2;21,46
Industria;2011T1;21,16
Industria;2010T4;21,57
Industria;2010T3;20,84
Industria;2010T2;21,08
Industria;2010T1;21,54
Industria;2009T4;21,1
Industria;2009T3;20,6
Industria;2009T2;20,09
Industria;2009T1;21,06
Industria;2008T4;21,84
Industria;2008T3;20,76
Industria;2008T2;19,21
Industria;2008T1;19,2
Construcción;2024T4;22,55
Construcción;2024T3;21,78
Construcción;2024T2;22,02
Construcción;2024T1;21,78
Construcción;2023T4;22,4
Construcción;2023T3;22,05
Construcción;2023T2;21,29
Construcción;2023T1;21,39
Construcción;2022T4;20,38
Construcción;2022T3;20,68
Construcción;2022T2;20,15
Construcción;2022T1;20,06
Construcción;2021T4;18,55
Construcción;2021T3;18,49
Construcción;2021T2;19,44
Construcción;2021T1;19,7
Construcción;2020T4;20,07
Construcción;2020T3;18,87
Construcción;2020T2;17,91
Construcción;2020T1;19,18
Construcción;2019T4;18,54
Construcción;2019T3;17,8
Construcción;2019T2;18,73
Construcción;2019T1;18,92
Construcción;2018T4;18,51
Construcción;2018T3;18,11
Construcción;2018T2;18,82
Construcción;2018T1;18,21
Construcción;2017T4;18,47
Construcción;2017T3;17,92
Construcción;2017T2;17,45
Construcción;2017T1;17,2
Construcción;2016T4;17,86
Construcción;2016T3;17,73
Construcción;2016T2;18,16
Construcción;2016T1;17,96
Construcción;2015T4;18,34
Construcción;2015T3;18,15
Construcción;2015T2;18,09
Construcción;2015T1;19,76
Construcción;2014T4;17,96
Construcción;2014T3;17,93
Construcción;2014T2;18,46
Construcción;2014T1;18,66
Construcción;2013T4;19,13
Construcción;2013T3;17,93
Construcción;2013T2;17,7
Construcción;2013T1;17,42
Construcción;2012T4;17,53
Construcción;2012T3;17,09
Construcción;2012T2;16,22
Construcción;2012T1;17,79
Construcción;2011T4;17,72
Construcción;2011T3;16
Construcción;2011T2;16,26
Construcción;2011T1;16,53
Construcción;2010T4;17,3
Construcción;2010T3;17,02
Construcción;2010T2;17,32
Construcción;2010T1;16,93
Construcción;2009T4;16,83
Construcción;2009T3;16,37
Construcción;2009T2;16,06
Construcción;2009T1;16,35
Construcción;2008T4;15,58
Construcción;2008T3;14,84
Construcción;2008T2;15,02
Construcción;2008T1;15,67
Servicios;2024T4;17,7
Servicios;2024T3;17,21
Servicios;2024T2;17,78
Servicios;2024T1;17,52
Servicios;2023T4;16,51
Servicios;2023T3;16,16
Servicios;2023T2;16,76
Servicios;2023T1;17,75
Servicios;2022T4;16,4
Servicios;2022T3;15,73
Servicios;2022T2;16,49
Servicios;2022T1;15,99
Servicios;2021T4;15,26
Servicios;2021T3;15,06
Servicios;2021T2;16,01
Servicios;2021T1;15,85
Servicios;2020T4;15,37
Servicios;2020T3;14,49
Servicios;2020T2;16,46
Servicios;2020T1;14,97
Servicios;2019T4;13,94
Servicios;2019T3;13,24
Servicios;2019T2;13,95
Servicios;2019T1;13,94
Servicios;2018T4;13,38
Servicios;2018T3;13,95
Servicios;2018T2;13,53
Servicios;2018T1;13,61
Servicios;2017T4;13,96
Servicios;2017T3;13,1
Servicios;2017T2;13,54
Servicios;2017T1;14,09
Servicios;2016T4;13,71
Servicios;2016T3;13,13
Servicios;2016T2;13,86
Servicios;2016T1;13,81
Servicios;2015T4;13,61
Servicios;2015T3;13,33
Servicios;2015T2;13,44
Servicios;2015T1;13,56
Servicios;2014T4;13,53
Servicios;2014T3;13,4
Servicios;2014T2;13,73
Servicios;2014T1;15,73
Servicios;2013T4;13,44
Servicios;2013T3;13,89
Servicios;2013T2;13,7
Servicios;2013T1;14,94
Servicios;2012T4;14,07
Servicios;2012T3;13,47
Servicios;2012T2;13,79
Servicios;2012T1;13,84
Servicios;2011T4;13,18
Servicios;2011T3;13,58
Servicios;2011T2;13,54
Servicios;2011T1;13,83
Servicios;2010T4;13,97
Servicios;2010T3;12,78
Servicios;2010T2;13,61
Servicios;2010T1;14,1
Servicios;2009T4;13,85
Servicios;2009T3;13,6
Servicios;2009T2;13,89
Servicios;2009T1;14,44
Servicios;2008T4;13,64
Servicios;2008T3;13,47
Servicios;2008T2;13,67
Servicios;2008T1;13,24
B Industrias extractivas;2024T4;23,3
B Industrias extractivas;2024T3;26,73
B Industrias extractivas;2024T2;25,93
B Industrias extractivas;2024T1;25,31
B Industrias extractivas;2023T4;27,55
B Industrias extractivas;2023T3;26,83
B Industrias extractivas;2023T2;27,01
B Industrias extractivas;2023T1;24,82
B Industrias extractivas;2022T4;26,68
B Industrias extractivas;2022T3;26,16
B Industrias extractivas;2022T2;27,04
B Industrias extractivas;2022T1;26,58
B Industrias extractivas;2021T4;26,01
B Industrias extractivas;2021T3;18,94
B Industrias extractivas;2021T2;21,79
B Industrias extractivas;2021T1;20,95
B Industrias extractivas;2020T4;26,65
B Industrias extractivas;2020T3;28,43
B Industrias extractivas;2020T2;26,88
B Industrias extractivas;2020T1;29,03
B Industrias extractivas;2019T4;28,45
B Industrias extractivas;2019T3;27,5
B Industrias extractivas;2019T2;27,09
B Industrias extractivas;2019T1;26,79
B Industrias extractivas;2018T4;26,71
B Industrias extractivas;2018T3;24,5
B Industrias extractivas;2018T2;25,1
B Industrias extractivas;2018T1;25,16
B Industrias extractivas;2017T4;25,46
B Industrias extractivas;2017T3;25,06
B Industrias extractivas;2017T2;25,07
B Industrias extractivas;2017T1;24,52
B Industrias extractivas;2016T4;24,05
B Industrias extractivas;2016T3;20,66
B Industrias extractivas;2016T2;22,33
B Industrias extractivas;2016T1;25,99
B Industrias extractivas;2015T4;25,56
B Industrias extractivas;2015T3;24,7
B Industrias extractivas;2015T2;24,46
B Industrias extractivas;2015T1;24,71
B Industrias extractivas;2014T4;26,7
B Industrias extractivas;2014T3;24,59
B Industrias extractivas;2014T2;26,69
B Industrias extractivas;2014T1;24,39
B Industrias extractivas;2013T4;21,63
B Industrias extractivas;2013T3;23,11
B Industrias extractivas;2013T2;25,45
B Industrias extractivas;2013T1;23,48
B Industrias extractivas;2012T4;21,41
B Industrias extractivas;2012T3;20,23
B Industrias extractivas;2012T2;21,65
B Industrias extractivas;2012T1;20,81
B Industrias extractivas;2011T4;20,75
B Industrias extractivas;2011T3;19,87
B Industrias extractivas;2011T2;21,66
B Industrias extractivas;2011T1;19,65
B Industrias extractivas;2010T4;23,12
B Industrias extractivas;2010T3;18,12
B Industrias extractivas;2010T2;18,09
B Industrias extractivas;2010T1;17,64
B Industrias extractivas;2009T4;16,7
B Industrias extractivas;2009T3;16,84
B Industrias extractivas;2009T2;15,89
B Industrias extractivas;2009T1;16,38
B Industrias extractivas;2008T4;18,17
B Industrias extractivas;2008T3;18,64
B Industrias extractivas;2008T2;18,2
B Industrias extractivas;2008T1;18,26
C Industria manufacturera;2024T4;23,94
C Industria manufacturera;2024T3;24,09
C Industria manufacturera;2024T2;23,93
C Industria manufacturera;2024T1;23,12
C Industria manufacturera;2023T4;23,82
C Industria manufacturera;2023T3;22,83
C Industria manufacturera;2023T2;23,42
C Industria manufacturera;2023T1;23,11
C Industria manufacturera;2022T4;22,26
C Industria manufacturera;2022T3;22,35
C Industria manufacturera;2022T2;21,92
C Industria manufacturera;2022T1;21,65
C Industria manufacturera;2021T4;21,66
C Industria manufacturera;2021T3;21,47
C Industria manufacturera;2021T2;21,62
C Industria manufacturera;2021T1;21,37
C Industria manufacturera;2020T4;21,34
C Industria manufacturera;2020T3;20,74
C Industria manufacturera;2020T2;21,66
C Industria manufacturera;2020T1;20,53
C Industria manufacturera;2019T4;21,47
C Industria manufacturera;2019T3;21,24
C Industria manufacturera;2019T2;21,44
C Industria manufacturera;2019T1;21,21
C Industria manufacturera;2018T4;21,6
C Industria manufacturera;2018T3;22,03
C Industria manufacturera;2018T2;21,4
C Industria manufacturera;2018T1;22,44
C Industria manufacturera;2017T4;22,02
C Industria manufacturera;2017T3;21,71
C Industria manufacturera;2017T2;21,62
C Industria manufacturera;2017T1;21,56
C Industria manufacturera;2016T4;22,1
C Industria manufacturera;2016T3;21,26
C Industria manufacturera;2016T2;21,52
C Industria manufacturera;2016T1;21,83
C Industria manufacturera;2015T4;21,39
C Industria manufacturera;2015T3;21,26
C Industria manufacturera;2015T2;22,11
C Industria manufacturera;2015T1;21,8
C Industria manufacturera;2014T4;20,99
C Industria manufacturera;2014T3;21,1
C Industria manufacturera;2014T2;20,87
C Industria manufacturera;2014T1;21,76
C Industria manufacturera;2013T4;21,21
C Industria manufacturera;2013T3;20,79
C Industria manufacturera;2013T2;22,17
C Industria manufacturera;2013T1;21,42
C Industria manufacturera;2012T4;21,47
C Industria manufacturera;2012T3;20,74
C Industria manufacturera;2012T2;21,08
C Industria manufacturera;2012T1;21,56
C Industria manufacturera;2011T4;20,56
C Industria manufacturera;2011T3;20,55
C Industria manufacturera;2011T2;21,28
C Industria manufacturera;2011T1;21,13
C Industria manufacturera;2010T4;21,41
C Industria manufacturera;2010T3;20,98
C Industria manufacturera;2010T2;21,06
C Industria manufacturera;2010T1;21,46
C Industria manufacturera;2009T4;21,13
C Industria manufacturera;2009T3;20,38
C Industria manufacturera;2009T2;19,45
C Industria manufacturera;2009T1;21,09
C Industria manufacturera;2008T4;22,2
C Industria manufacturera;2008T3;21,27
C Industria manufacturera;2008T2;19,37
C Industria manufacturera;2008T1;19,49
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2024T4;38,01
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2024T3;37,38
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2024T2;48,81
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2024T1;47,88
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2023T4;41,95
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2023T3;39,47
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2023T2;42,45
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2023T1;48,46
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2022T4;40,17
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2022T3;36,86
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2022T2;43,5
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2022T1;43,7
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2021T4;38,67
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2021T3;36,03
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2021T2;43,23
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2021T1;43,19
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2020T4;42,43
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2020T3;36,29
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2020T2;39,58
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2020T1;38,33
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2019T4;35,09
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2019T3;33,05
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2019T2;40,07
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2019T1;39,48
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2018T4;33,64
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2018T3;35,82
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2018T2;38,44
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2018T1;34,77
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2017T4;41,83
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2017T3;33,82
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2017T2;40,33
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2017T1;36,43
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2016T4;33,95
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2016T3;41,98
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2016T2;50,63
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2016T1;44,37
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2015T4;47,71
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2015T3;45,48
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2015T2;42,61
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2015T1;37,47
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2014T4;38,13
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2014T3;37,76
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2014T2;43,58
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2014T1;41,9
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2013T4;31,17
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2013T3;35,46
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2013T2;39,74
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2013T1;38,58
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2012T4;34,82
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2012T3;37,97
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2012T2;34,66
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2012T1;35,11
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2011T4;32,17
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2011T3;34,68
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2011T2;35,24
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2011T1;33,62
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2010T4;31,79
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2010T3;30,57
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2010T2;33,16
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2010T1;28,22
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2009T4;33,29
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2009T3;32,46
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2009T2;35,3
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2009T1;29,81
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2008T4;29,7
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2008T3;27,62
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2008T2;30,3
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2008T1;27,15
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2024T4;23,62
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2024T3;22,12
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2024T2;23,24
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2024T1;22,55
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2023T4;22,9
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2023T3;22,68
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2023T2;22,68
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2023T1;21,3
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2022T4;21,42
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2022T3;21
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2022T2;20,52
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2022T1;21,2
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021T4;20,39
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021T3;20,56
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021T2;20,51
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021T1;19,89
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020T4;21,57
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020T3;21,04
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020T2;19,7
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020T1;19,84
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019T4;21
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019T3;19,66
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019T2;19,88
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019T1;19,93
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2018T4;19,67
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2018T3;18,9
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2018T2;19,78
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2018T1;19,7
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2017T4;19,25
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2017T3;18,88
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2017T2;18,53
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2017T1;18,43
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2016T4;18,81
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2016T3;18,47
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2016T2;19,5
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2016T1;18,81
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2015T4;20,18
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2015T3;19,72
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2015T2;19,72
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2015T1;19,45
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2014T4;19,3
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2014T3;19,38
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2014T2;19,15
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2014T1;18,8
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2013T4;18,54
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2013T3;17,1
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2013T2;18,26
