Comunidad autónoma;Motivos por los que no exiten puestos de trabajo vacantes;Periodo;Total
01 Andalucía;Total;2019T2;100
01 Andalucía;Total;2019T1;100
01 Andalucía;Total;2018T4;100
01 Andalucía;Total;2018T3;100
01 Andalucía;Total;2018T2;100
01 Andalucía;Total;2018T1;100
01 Andalucía;Total;2017T4;100
01 Andalucía;Total;2017T3;100
01 Andalucía;Total;2017T2;100
01 Andalucía;Total;2017T1;100
01 Andalucía;Total;2016T4;100
01 Andalucía;Total;2016T3;100
01 Andalucía;Total;2016T2;100
01 Andalucía;Total;2016T1;100
01 Andalucía;Total;2015T4;100
01 Andalucía;Total;2015T3;100
01 Andalucía;Total;2015T2;100
01 Andalucía;Total;2015T1;100
01 Andalucía;Total;2014T4;100
01 Andalucía;Total;2014T3;100
01 Andalucía;Total;2014T2;100
01 Andalucía;Total;2014T1;100
01 Andalucía;Total;2013T4;100
01 Andalucía;Total;2013T3;100
01 Andalucía;No se necesita ningún trabajador;2024T4;91,3
01 Andalucía;No se necesita ningún trabajador;2024T3;91,4
01 Andalucía;No se necesita ningún trabajador;2024T2;92,8
01 Andalucía;No se necesita ningún trabajador;2024T1;92
01 Andalucía;No se necesita ningún trabajador;2023T4;92,7
01 Andalucía;No se necesita ningún trabajador;2023T3;91,8
01 Andalucía;No se necesita ningún trabajador;2023T2;93,1
01 Andalucía;No se necesita ningún trabajador;2023T1;92,9
01 Andalucía;No se necesita ningún trabajador;2022T4;93,7
01 Andalucía;No se necesita ningún trabajador;2022T3;93,4
01 Andalucía;No se necesita ningún trabajador;2022T2;93,7
01 Andalucía;No se necesita ningún trabajador;2022T1;93,6
01 Andalucía;No se necesita ningún trabajador;2021T4;92,3
01 Andalucía;No se necesita ningún trabajador;2021T3;93,1
01 Andalucía;No se necesita ningún trabajador;2021T2;92,4
01 Andalucía;No se necesita ningún trabajador;2021T1;93,5
01 Andalucía;No se necesita ningún trabajador;2020T4;95,9
01 Andalucía;No se necesita ningún trabajador;2020T3;93,6
01 Andalucía;No se necesita ningún trabajador;2020T2;94,5
01 Andalucía;No se necesita ningún trabajador;2020T1;93
01 Andalucía;No se necesita ningún trabajador;2019T4;92,6
01 Andalucía;No se necesita ningún trabajador;2019T3;91,6
01 Andalucía;No se necesita ningún trabajador;2019T2;93,2
01 Andalucía;No se necesita ningún trabajador;2019T1;92,3
01 Andalucía;No se necesita ningún trabajador;2018T4;91,6
01 Andalucía;No se necesita ningún trabajador;2018T3;93,5
01 Andalucía;No se necesita ningún trabajador;2018T2;93,7
01 Andalucía;No se necesita ningún trabajador;2018T1;92,1
01 Andalucía;No se necesita ningún trabajador;2017T4;90,7
01 Andalucía;No se necesita ningún trabajador;2017T3;92
01 Andalucía;No se necesita ningún trabajador;2017T2;91,9
01 Andalucía;No se necesita ningún trabajador;2017T1;92,2
01 Andalucía;No se necesita ningún trabajador;2016T4;92,3
01 Andalucía;No se necesita ningún trabajador;2016T3;92,6
01 Andalucía;No se necesita ningún trabajador;2016T2;92,9
01 Andalucía;No se necesita ningún trabajador;2016T1;92,4
01 Andalucía;No se necesita ningún trabajador;2015T4;92,5
01 Andalucía;No se necesita ningún trabajador;2015T3;92,8
01 Andalucía;No se necesita ningún trabajador;2015T2;91,4
01 Andalucía;No se necesita ningún trabajador;2015T1;90,1
01 Andalucía;No se necesita ningún trabajador;2014T4;88,9
01 Andalucía;No se necesita ningún trabajador;2014T3;89,9
01 Andalucía;No se necesita ningún trabajador;2014T2;89,6
01 Andalucía;No se necesita ningún trabajador;2014T1;87,5
01 Andalucía;No se necesita ningún trabajador;2013T4;90,9
01 Andalucía;No se necesita ningún trabajador;2013T3;89,2
01 Andalucía;Elevado coste de contratación;2024T4;6,1
01 Andalucía;Elevado coste de contratación;2024T3;6,6
01 Andalucía;Elevado coste de contratación;2024T2;4,8
01 Andalucía;Elevado coste de contratación;2024T1;5
01 Andalucía;Elevado coste de contratación;2023T4;4
01 Andalucía;Elevado coste de contratación;2023T3;5,1
01 Andalucía;Elevado coste de contratación;2023T2;5
01 Andalucía;Elevado coste de contratación;2023T1;4,5
01 Andalucía;Elevado coste de contratación;2022T4;4,8
01 Andalucía;Elevado coste de contratación;2022T3;3,8
01 Andalucía;Elevado coste de contratación;2022T2;3,5
01 Andalucía;Elevado coste de contratación;2022T1;3,9
01 Andalucía;Elevado coste de contratación;2021T4;4,2
01 Andalucía;Elevado coste de contratación;2021T3;4,9
01 Andalucía;Elevado coste de contratación;2021T2;3,8
01 Andalucía;Elevado coste de contratación;2021T1;3,6
01 Andalucía;Elevado coste de contratación;2020T4;2,8
01 Andalucía;Elevado coste de contratación;2020T3;3,3
01 Andalucía;Elevado coste de contratación;2020T2;2,3
01 Andalucía;Elevado coste de contratación;2020T1;3,3
01 Andalucía;Elevado coste de contratación;2019T4;4,5
01 Andalucía;Elevado coste de contratación;2019T3;5,9
01 Andalucía;Elevado coste de contratación;2019T2;4,8
01 Andalucía;Elevado coste de contratación;2019T1;5,9
01 Andalucía;Elevado coste de contratación;2018T4;6,3
01 Andalucía;Elevado coste de contratación;2018T3;3,6
01 Andalucía;Elevado coste de contratación;2018T2;4,6
01 Andalucía;Elevado coste de contratación;2018T1;5,3
01 Andalucía;Elevado coste de contratación;2017T4;6,1
01 Andalucía;Elevado coste de contratación;2017T3;5,7
01 Andalucía;Elevado coste de contratación;2017T2;6,6
01 Andalucía;Elevado coste de contratación;2017T1;6
01 Andalucía;Elevado coste de contratación;2016T4;6
01 Andalucía;Elevado coste de contratación;2016T3;4,8
01 Andalucía;Elevado coste de contratación;2016T2;4,9
01 Andalucía;Elevado coste de contratación;2016T1;5,7
01 Andalucía;Elevado coste de contratación;2015T4;5,3
01 Andalucía;Elevado coste de contratación;2015T3;4,7
01 Andalucía;Elevado coste de contratación;2015T2;5,4
01 Andalucía;Elevado coste de contratación;2015T1;7,7
01 Andalucía;Elevado coste de contratación;2014T4;8,3
01 Andalucía;Elevado coste de contratación;2014T3;8,3
01 Andalucía;Elevado coste de contratación;2014T2;7,8
01 Andalucía;Elevado coste de contratación;2014T1;10,4
01 Andalucía;Elevado coste de contratación;2013T4;7,4
01 Andalucía;Elevado coste de contratación;2013T3;8,4
01 Andalucía;Otros;2024T4;2,6
01 Andalucía;Otros;2024T3;2
01 Andalucía;Otros;2024T2;2,4
01 Andalucía;Otros;2024T1;3
01 Andalucía;Otros;2023T4;3,3
01 Andalucía;Otros;2023T3;3,1
01 Andalucía;Otros;2023T2;1,9
01 Andalucía;Otros;2023T1;2,6
01 Andalucía;Otros;2022T4;1,5
01 Andalucía;Otros;2022T3;2,8
01 Andalucía;Otros;2022T2;2,8
01 Andalucía;Otros;2022T1;2,5
01 Andalucía;Otros;2021T4;3,5
01 Andalucía;Otros;2021T3;2
01 Andalucía;Otros;2021T2;3,8
01 Andalucía;Otros;2021T1;2,9
01 Andalucía;Otros;2020T4;1,3
01 Andalucía;Otros;2020T3;3,1
01 Andalucía;Otros;2020T2;3,2
01 Andalucía;Otros;2020T1;3,7
01 Andalucía;Otros;2019T4;2,9
01 Andalucía;Otros;2019T3;2,5
01 Andalucía;Otros;2019T2;2
01 Andalucía;Otros;2019T1;1,8
01 Andalucía;Otros;2018T4;2,1
01 Andalucía;Otros;2018T3;2,9
01 Andalucía;Otros;2018T2;1,7
01 Andalucía;Otros;2018T1;2,6
01 Andalucía;Otros;2017T4;3,2
01 Andalucía;Otros;2017T3;2,3
01 Andalucía;Otros;2017T2;1,5
01 Andalucía;Otros;2017T1;1,8
01 Andalucía;Otros;2016T4;1,7
01 Andalucía;Otros;2016T3;2,6
01 Andalucía;Otros;2016T2;2,2
01 Andalucía;Otros;2016T1;1,9
01 Andalucía;Otros;2015T4;2,2
01 Andalucía;Otros;2015T3;2,5
01 Andalucía;Otros;2015T2;3,2
01 Andalucía;Otros;2015T1;2,2
01 Andalucía;Otros;2014T4;2,8
01 Andalucía;Otros;2014T3;1,8
01 Andalucía;Otros;2014T2;2,5
01 Andalucía;Otros;2014T1;2,1
01 Andalucía;Otros;2013T4;1,7
01 Andalucía;Otros;2013T3;2,4
02 Aragón;Total;2024T4;100
02 Aragón;Total;2024T3;100
02 Aragón;Total;2024T2;100
02 Aragón;Total;2024T1;100
02 Aragón;Total;2023T4;100
02 Aragón;Total;2023T3;100
02 Aragón;Total;2023T2;100
02 Aragón;Total;2023T1;100
02 Aragón;Total;2022T4;100
02 Aragón;Total;2022T3;100
02 Aragón;Total;2022T2;100
02 Aragón;Total;2022T1;100
02 Aragón;Total;2021T4;100
02 Aragón;Total;2021T3;100
02 Aragón;Total;2021T2;100
02 Aragón;Total;2021T1;100
02 Aragón;Total;2020T4;100
02 Aragón;Total;2020T3;100
02 Aragón;Total;2020T2;100
02 Aragón;Total;2020T1;100
02 Aragón;Total;2019T4;100
02 Aragón;Total;2019T3;100
02 Aragón;Total;2019T2;100
02 Aragón;Total;2019T1;100
02 Aragón;Total;2018T4;100
02 Aragón;Total;2018T3;100
02 Aragón;Total;2018T2;100
02 Aragón;Total;2018T1;100
02 Aragón;Total;2017T4;100
02 Aragón;Total;2017T3;100
02 Aragón;Total;2017T2;100
02 Aragón;Total;2017T1;100
02 Aragón;Total;2016T4;100
02 Aragón;Total;2016T3;100
02 Aragón;Total;2016T2;100
02 Aragón;Total;2016T1;100
02 Aragón;Total;2015T4;100
02 Aragón;Total;2015T3;100
02 Aragón;Total;2015T2;100
02 Aragón;Total;2015T1;100
02 Aragón;Total;2014T4;100
02 Aragón;Total;2014T3;100
02 Aragón;Total;2014T2;100
02 Aragón;Total;2014T1;100
02 Aragón;Total;2013T4;100
02 Aragón;Total;2013T3;100
02 Aragón;No se necesita ningún trabajador;2024T4;90,6
02 Aragón;No se necesita ningún trabajador;2024T3;88,6
02 Aragón;No se necesita ningún trabajador;2024T2;88
02 Aragón;No se necesita ningún trabajador;2024T1;87,1
02 Aragón;No se necesita ningún trabajador;2023T4;93,2
02 Aragón;No se necesita ningún trabajador;2023T3;92,7
02 Aragón;No se necesita ningún trabajador;2023T2;92,1
02 Aragón;No se necesita ningún trabajador;2023T1;93,4
02 Aragón;No se necesita ningún trabajador;2022T4;93,4
02 Aragón;No se necesita ningún trabajador;2022T3;94,9
02 Aragón;No se necesita ningún trabajador;2022T2;94,3
02 Aragón;No se necesita ningún trabajador;2022T1;94,9
02 Aragón;No se necesita ningún trabajador;2021T4;95,9
02 Aragón;No se necesita ningún trabajador;2021T3;94,8
02 Aragón;No se necesita ningún trabajador;2021T2;94,6
02 Aragón;No se necesita ningún trabajador;2021T1;94,6
02 Aragón;No se necesita ningún trabajador;2020T4;96,5
02 Aragón;No se necesita ningún trabajador;2020T3;93,3
02 Aragón;No se necesita ningún trabajador;2020T2;94,1
02 Aragón;No se necesita ningún trabajador;2020T1;93,8
02 Aragón;No se necesita ningún trabajador;2019T4;90,2
02 Aragón;No se necesita ningún trabajador;2019T3;94,3
02 Aragón;No se necesita ningún trabajador;2019T2;93,7
02 Aragón;No se necesita ningún trabajador;2019T1;95,6
02 Aragón;No se necesita ningún trabajador;2018T4;95,1
02 Aragón;No se necesita ningún trabajador;2018T3;96,2
02 Aragón;No se necesita ningún trabajador;2018T2;95,3
02 Aragón;No se necesita ningún trabajador;2018T1;96,9
02 Aragón;No se necesita ningún trabajador;2017T4;97
02 Aragón;No se necesita ningún trabajador;2017T3;97,2
02 Aragón;No se necesita ningún trabajador;2017T2;96,3
02 Aragón;No se necesita ningún trabajador;2017T1;96,3
02 Aragón;No se necesita ningún trabajador;2016T4;98,3
02 Aragón;No se necesita ningún trabajador;2016T3;98,2
02 Aragón;No se necesita ningún trabajador;2016T2;97,2
02 Aragón;No se necesita ningún trabajador;2016T1;96,6
02 Aragón;No se necesita ningún trabajador;2015T4;95,7
02 Aragón;No se necesita ningún trabajador;2015T3;94,4
02 Aragón;No se necesita ningún trabajador;2015T2;95,4
02 Aragón;No se necesita ningún trabajador;2015T1;95,5
02 Aragón;No se necesita ningún trabajador;2014T4;94,7
02 Aragón;No se necesita ningún trabajador;2014T3;94,8
02 Aragón;No se necesita ningún trabajador;2014T2;95,4
02 Aragón;No se necesita ningún trabajador;2014T1;94,7
02 Aragón;No se necesita ningún trabajador;2013T4;96,6
02 Aragón;No se necesita ningún trabajador;2013T3;95,4
02 Aragón;Elevado coste de contratación;2024T4;4,8
02 Aragón;Elevado coste de contratación;2024T3;7,4
02 Aragón;Elevado coste de contratación;2024T2;6,3
02 Aragón;Elevado coste de contratación;2024T1;6,6
02 Aragón;Elevado coste de contratación;2023T4;3,9
02 Aragón;Elevado coste de contratación;2023T3;3,1
02 Aragón;Elevado coste de contratación;2023T2;2,9
02 Aragón;Elevado coste de contratación;2023T1;2,6
02 Aragón;Elevado coste de contratación;2022T4;3,6
02 Aragón;Elevado coste de contratación;2022T3;2,3
02 Aragón;Elevado coste de contratación;2022T2;3,2
02 Aragón;Elevado coste de contratación;2022T1;2,1
02 Aragón;Elevado coste de contratación;2021T4;2,2
02 Aragón;Elevado coste de contratación;2021T3;3,3
02 Aragón;Elevado coste de contratación;2021T2;2,5
02 Aragón;Elevado coste de contratación;2021T1;2,8
02 Aragón;Elevado coste de contratación;2020T4;1,7
02 Aragón;Elevado coste de contratación;2020T3;3,8
02 Aragón;Elevado coste de contratación;2020T2;2,2
02 Aragón;Elevado coste de contratación;2020T1;1,7
02 Aragón;Elevado coste de contratación;2019T4;4,7
02 Aragón;Elevado coste de contratación;2019T3;2,4
02 Aragón;Elevado coste de contratación;2019T2;3,7
02 Aragón;Elevado coste de contratación;2019T1;2,4
02 Aragón;Elevado coste de contratación;2018T4;2,7
02 Aragón;Elevado coste de contratación;2018T3;1
02 Aragón;Elevado coste de contratación;2018T2;2,2
02 Aragón;Elevado coste de contratación;2018T1;1,5
02 Aragón;Elevado coste de contratación;2017T4;2
02 Aragón;Elevado coste de contratación;2017T3;1,6
02 Aragón;Elevado coste de contratación;2017T2;2
02 Aragón;Elevado coste de contratación;2017T1;2,1
02 Aragón;Elevado coste de contratación;2016T4;0,7
02 Aragón;Elevado coste de contratación;2016T3;0,5
02 Aragón;Elevado coste de contratación;2016T2;0,9
02 Aragón;Elevado coste de contratación;2016T1;1,6
02 Aragón;Elevado coste de contratación;2015T4;2,6
02 Aragón;Elevado coste de contratación;2015T3;3,5
02 Aragón;Elevado coste de contratación;2015T2;3,1
02 Aragón;Elevado coste de contratación;2015T1;2,3
02 Aragón;Elevado coste de contratación;2014T4;3,8
02 Aragón;Elevado coste de contratación;2014T3;2,3
02 Aragón;Elevado coste de contratación;2014T2;2,6
02 Aragón;Elevado coste de contratación;2014T1;3,7
02 Aragón;Elevado coste de contratación;2013T4;1,6
02 Aragón;Elevado coste de contratación;2013T3;2,9
02 Aragón;Otros;2024T4;4,6
02 Aragón;Otros;2024T3;4
02 Aragón;Otros;2024T2;5,7
02 Aragón;Otros;2024T1;6,3
02 Aragón;Otros;2023T4;2,9
02 Aragón;Otros;2023T3;4,2
02 Aragón;Otros;2023T2;5
02 Aragón;Otros;2023T1;4
02 Aragón;Otros;2022T4;3
02 Aragón;Otros;2022T3;2,8
02 Aragón;Otros;2022T2;2,5
02 Aragón;Otros;2022T1;3
02 Aragón;Otros;2021T4;1,9
02 Aragón;Otros;2021T3;1,9
02 Aragón;Otros;2021T2;2,9
02 Aragón;Otros;2021T1;2,6
02 Aragón;Otros;2020T4;1,8
02 Aragón;Otros;2020T3;2,9
02 Aragón;Otros;2020T2;3,7
02 Aragón;Otros;2020T1;4,5
02 Aragón;Otros;2019T4;5,1
02 Aragón;Otros;2019T3;3,3
02 Aragón;Otros;2019T2;2,6
02 Aragón;Otros;2019T1;2
02 Aragón;Otros;2018T4;2,2
02 Aragón;Otros;2018T3;2,8
02 Aragón;Otros;2018T2;2,5
02 Aragón;Otros;2018T1;1,6
02 Aragón;Otros;2017T4;1
02 Aragón;Otros;2017T3;1,2
02 Aragón;Otros;2017T2;1,7
02 Aragón;Otros;2017T1;1,6
02 Aragón;Otros;2016T4;1
02 Aragón;Otros;2016T3;1,3
02 Aragón;Otros;2016T2;1,9
02 Aragón;Otros;2016T1;1,8
02 Aragón;Otros;2015T4;1,7
02 Aragón;Otros;2015T3;2,1
02 Aragón;Otros;2015T2;1,5
02 Aragón;Otros;2015T1;2,2
02 Aragón;Otros;2014T4;1,5
02 Aragón;Otros;2014T3;2,9
02 Aragón;Otros;2014T2;1,9
02 Aragón;Otros;2014T1;1,6
02 Aragón;Otros;2013T4;1,7
02 Aragón;Otros;2013T3;1,7
03 Asturias, Principado de;Total;2024T4;100
03 Asturias, Principado de;Total;2024T3;100
03 Asturias, Principado de;Total;2024T2;100
03 Asturias, Principado de;Total;2024T1;100
03 Asturias, Principado de;Total;2023T4;100
03 Asturias, Principado de;Total;2023T3;100
03 Asturias, Principado de;Total;2023T2;100
03 Asturias, Principado de;Total;2023T1;100
03 Asturias, Principado de;Total;2022T4;100
03 Asturias, Principado de;Total;2022T3;100
03 Asturias, Principado de;Total;2022T2;100
03 Asturias, Principado de;Total;2022T1;100
03 Asturias, Principado de;Total;2021T4;100
03 Asturias, Principado de;Total;2021T3;100
03 Asturias, Principado de;Total;2021T2;100
03 Asturias, Principado de;Total;2021T1;100
03 Asturias, Principado de;Total;2020T4;100
03 Asturias, Principado de;Total;2020T3;100
03 Asturias, Principado de;Total;2020T2;100
03 Asturias, Principado de;Total;2020T1;100
03 Asturias, Principado de;Total;2019T4;100
03 Asturias, Principado de;Total;2019T3;100
03 Asturias, Principado de;Total;2019T2;100
03 Asturias, Principado de;Total;2019T1;100
03 Asturias, Principado de;Total;2018T4;100
03 Asturias, Principado de;Total;2018T3;100
03 Asturias, Principado de;Total;2018T2;100
03 Asturias, Principado de;Total;2018T1;100
03 Asturias, Principado de;Total;2017T4;100
03 Asturias, Principado de;Total;2017T3;100
03 Asturias, Principado de;Total;2017T2;100
03 Asturias, Principado de;Total;2017T1;100
03 Asturias, Principado de;Total;2016T4;100
03 Asturias, Principado de;Total;2016T3;100
03 Asturias, Principado de;Total;2016T2;100
03 Asturias, Principado de;Total;2016T1;100
03 Asturias, Principado de;Total;2015T4;100
03 Asturias, Principado de;Total;2015T3;100
03 Asturias, Principado de;Total;2015T2;100
03 Asturias, Principado de;Total;2015T1;100
03 Asturias, Principado de;Total;2014T4;100
03 Asturias, Principado de;Total;2014T3;100
03 Asturias, Principado de;Total;2014T2;100
03 Asturias, Principado de;Total;2014T1;100
